id,ville,arrondissement,quartier,surface_m2,nb_pieces,nb_chambres,nb_salles_bain,etage,ascenseur,annee_construction,etat_logement,type_chauffage,climatisation,parking,balcon,terrasse,cave,meuble,distance_centre_ville_km,zone_type,transports_publics_score,commerces_proximite_score,ecoles_proximite_score,agence_type,annee,mois,prix_loyer_mensuel,gamme_prix,prix_m2,age_batiment,score_commodites,score_environnement_global,densite_logement,categorie_logement
LOC_000011,Lyon,Centre,Banlieue,30.1,2,1,1,2,Non,1973,Bon,Électrique,Oui,Non,Non,Non,Non,Non,1.9,Centre,5,5,3,Agence_locale,2023,9,740,< 800€,24.58471760797342,51,1,4.333333333333333,3.322259136212624,T2
LOC_000012,Paris,19ème,Quartier_19ème,31.0,2,1,1,11,Oui,1862,Moyen,Électrique,Non,Oui,Non,Oui,Oui,Non,11.8,Banlieue,3,2,3,Particulier,2023,4,844,800-1200€,27.225806451612904,162,3,2.6666666666666665,3.225806451612903,T2
LOC_000013,Lille,Ouest,Centre-ville,59.6,3,1,1,4,Oui,1930,Bon,Électrique,Non,Oui,Oui,Non,Oui,Non,8.0,Périphérie,3,2,2,Agence_locale,2024,4,820,800-1200€,13.758389261744966,94,3,2.3333333333333335,1.6778523489932886,T3
LOC_000014,Marseille,Sud,Gare,141.6,6,4,3,9,Non,2017,Neuf,Collectif,Non,Non,Oui,Non,Non,Non,7.4,Périphérie,3,4,2,Agence_nationale,2024,5,3257,> 2500€,23.001412429378533,7,1,3.0,2.824858757062147,T5+
LOC_000015,Toulouse,Sud,Commerce,57.2,3,1,1,4,Non,1863,Très_bon,Électrique,Non,Oui,Non,Non,Non,Non,13.2,Banlieue,3,4,3,Particulier,2023,10,1032,800-1200€,18.04195804195804,161,1,3.3333333333333335,1.7482517482517481,T3
LOC_000016,Marseille,Ouest,Centre-ville,25.1,2,1,1,6,Oui,1928,Bon,Collectif,Non,Oui,Oui,Non,Non,Non,10.0,Périphérie,3,3,4,Agence_locale,2022,2,517,< 800€,20.597609561752986,96,2,3.3333333333333335,3.9840637450199203,T2
LOC_000017,Marseille,Est,Centre-ville,32.1,2,1,1,12,Oui,1913,Bon,Fuel,Oui,Non,Non,Non,Non,Non,14.1,Banlieue,2,2,2,Particulier,2022,3,404,< 800€,12.585669781931463,111,1,2.0,3.115264797507788,T2
LOC_000018,Strasbourg,Sud,Résidentiel,23.9,1,0,1,5,Oui,1952,Moyen,Fuel,Non,Oui,Non,Non,Non,Non,14.6,Banlieue,1,2,4,Promoteur,2024,4,390,< 800€,16.317991631799163,72,1,2.3333333333333335,0.0,Studio
LOC_000019,Nantes,Est,Périphérie,29.0,2,1,1,4,Oui,1961,Très_bon,Collectif,Non,Non,Non,Non,Non,Oui,4.4,Proche_centre,5,4,4,Particulier,2023,12,802,800-1200€,27.655172413793103,63,0,4.333333333333333,3.4482758620689653,T2
LOC_000020,Bordeaux,Sud,Historique,53.1,3,2,1,3,Non,1947,Moyen,Collectif,Non,Oui,Non,Oui,Non,Non,11.4,Banlieue,3,4,4,Agence_nationale,2024,5,916,800-1200€,17.250470809792844,77,2,3.6666666666666665,3.766478342749529,T3
LOC_000021,Montpellier,Nord,Banlieue,27.0,2,1,1,10,Oui,1981,Bon,Électrique,Oui,Non,Oui,Non,Non,Oui,13.8,Banlieue,1,2,3,Particulier,2023,8,492,< 800€,18.22222222222222,43,2,2.0,3.7037037037037033,T2
LOC_000022,Lille,Nord,Historique,20.7,1,0,1,12,Non,1877,Moyen,Gaz,Non,Non,Non,Non,Non,Oui,5.9,Périphérie,1,3,4,Agence_nationale,2023,7,300,< 800€,14.492753623188406,147,0,2.6666666666666665,0.0,Studio
LOC_000023,Bordeaux,Est,Banlieue,24.1,1,0,1,7,Oui,1913,À_rénover,Gaz,Non,Non,Oui,Non,Non,Oui,4.9,Proche_centre,4,4,3,Agence_locale,2023,10,358,< 800€,14.854771784232364,111,1,3.6666666666666665,0.0,Studio
LOC_000024,Strasbourg,Nord,Commerce,59.9,3,1,1,6,Oui,1957,Bon,Fuel,Non,Oui,Non,Non,Non,Non,7.9,Périphérie,2,3,3,Agence_locale,2022,4,609,< 800€,10.166944908180302,67,1,2.6666666666666665,1.669449081803005,T3
LOC_000025,Nice,Est,Moderne,47.7,3,1,1,11,Oui,1969,À_rénover,Collectif,Non,Non,Non,Non,Oui,Non,7.0,Périphérie,2,2,2,Agence_nationale,2023,4,502,< 800€,10.524109014675052,55,1,2.0,2.0964360587002093,T3
LOC_000026,Toulouse,Est,Industriel,81.6,5,3,2,1,Non,1988,Très_bon,Collectif,Non,Oui,Non,Oui,Oui,Oui,13.6,Banlieue,1,4,2,Agence_locale,2023,6,1756,1200-1800€,21.519607843137255,36,3,2.3333333333333335,3.6764705882352944,T5+
LOC_000027,Lyon,Ouest,Commerce,15.8,1,0,1,2,Non,1879,Moyen,Gaz,Non,Oui,Non,Non,Non,Non,6.1,Périphérie,3,2,2,Agence_locale,2022,8,300,< 800€,18.987341772151897,145,1,2.3333333333333335,0.0,Studio
LOC_000028,Nice,Ouest,Gare,21.4,1,0,1,5,Oui,2019,Neuf,Électrique,Non,Non,Non,Non,Non,Non,9.8,Périphérie,2,4,2,Promoteur,2022,12,703,< 800€,32.85046728971963,5,0,2.6666666666666665,0.0,Studio
LOC_000029,Bordeaux,Sud,Périphérie,36.0,2,1,1,7,Oui,2001,Très_bon,Fuel,Non,Oui,Non,Non,Non,Non,9.5,Périphérie,2,3,2,Promoteur,2022,12,713,< 800€,19.805555555555557,23,1,2.3333333333333335,2.7777777777777777,T2
LOC_000030,Montpellier,Nord,Industriel,27.6,2,1,1,8,Oui,1898,Très_bon,Fuel,Non,Non,Non,Non,Non,Non,7.1,Périphérie,1,3,2,Promoteur,2023,3,534,< 800€,19.34782608695652,126,0,2.0,3.6231884057971016,T2
LOC_000031,Nice,Ouest,Industriel,27.4,2,1,1,11,Oui,1940,Moyen,Gaz,Oui,Oui,Oui,Oui,Non,Non,9.4,Périphérie,1,2,2,Promoteur,2024,4,699,< 800€,25.51094890510949,84,4,1.6666666666666667,3.649635036496351,T2
LOC_000032,Lille,Ouest,Périphérie,51.0,3,2,1,4,Oui,1895,Bon,Fuel,Oui,Oui,Oui,Non,Non,Non,4.2,Proche_centre,4,3,3,Agence_nationale,2023,12,686,< 800€,13.450980392156863,129,3,3.3333333333333335,3.9215686274509802,T3
LOC_000033,Montpellier,Sud,Université,31.1,2,1,1,1,Non,1952,Moyen,Électrique,Non,Oui,Non,Non,Oui,Oui,6.0,Périphérie,3,3,4,Agence_locale,2023,8,600,< 800€,19.292604501607716,72,2,3.3333333333333335,3.215434083601286,T2
LOC_000034,Montpellier,Est,Résidentiel,77.1,4,2,1,9,Oui,2006,Moyen,Gaz,Non,Non,Oui,Oui,Oui,Non,14.9,Banlieue,1,2,3,Promoteur,2024,7,1340,1200-1800€,17.380025940337227,18,3,2.0,2.594033722438392,T4
LOC_000035,Montpellier,Sud,Centre-ville,28.7,2,1,1,1,Non,1917,Moyen,Électrique,Non,Non,Non,Non,Non,Non,11.5,Banlieue,1,2,2,Agence_locale,2024,10,324,< 800€,11.289198606271777,107,0,1.6666666666666667,3.484320557491289,T2
LOC_000036,Lille,Sud,Moderne,73.7,4,2,1,4,Oui,1976,Moyen,Électrique,Non,Non,Non,Oui,Oui,Non,11.3,Banlieue,3,4,2,Agence_nationale,2023,10,667,< 800€,9.050203527815468,48,2,3.0,2.7137042062415193,T4
LOC_000037,Marseille,Est,Banlieue,40.1,3,2,1,9,Oui,1975,À_rénover,Électrique,Non,Oui,Oui,Oui,Non,Non,14.0,Banlieue,3,3,4,Particulier,2024,1,590,< 800€,14.713216957605985,49,3,3.3333333333333335,4.987531172069825,T3
LOC_000038,Nantes,Sud,Industriel,33.1,2,1,1,10,Non,1968,Moyen,Gaz,Non,Non,Non,Non,Oui,Non,12.3,Banlieue,2,3,4,Promoteur,2023,2,300,< 800€,9.06344410876133,56,1,3.0,3.021148036253776,T2
LOC_000039,Lille,Nord,Université,37.0,2,1,1,1,Oui,1879,Moyen,Gaz,Non,Non,Non,Non,Non,Non,3.2,Proche_centre,4,3,4,Agence_locale,2022,1,340,< 800€,9.18918918918919,145,0,3.6666666666666665,2.7027027027027026,T2
LOC_000040,Lille,Ouest,Université,25.8,2,1,1,5,Non,1979,Bon,Gaz,Non,Non,Non,Non,Non,Non,6.3,Périphérie,2,3,3,Promoteur,2023,4,454,< 800€,17.5968992248062,45,0,2.6666666666666665,3.875968992248062,T2
LOC_000041,Toulouse,Nord,Périphérie,18.2,1,0,1,0,Non,1971,Moyen,Fuel,Non,Non,Non,Non,Non,Oui,13.3,Banlieue,3,4,3,Particulier,2023,6,300,< 800€,16.483516483516485,53,0,3.3333333333333335,0.0,Studio
LOC_000042,Bordeaux,Est,Centre-ville,42.0,3,2,1,1,Non,1917,Bon,Électrique,Non,Non,Non,Non,Non,Oui,7.9,Périphérie,3,3,4,Particulier,2023,2,776,< 800€,18.476190476190474,107,0,3.3333333333333335,4.761904761904762,T3
LOC_000043,Toulouse,Sud,Commerce,36.5,2,1,1,12,Oui,1875,Moyen,Électrique,Non,Oui,Non,Non,Non,Oui,8.2,Périphérie,3,3,4,Agence_locale,2024,2,755,< 800€,20.684931506849313,149,1,3.3333333333333335,2.73972602739726,T2
LOC_000044,Lyon,Ouest,Historique,47.2,3,2,1,3,Non,1915,Moyen,Électrique,Non,Oui,Oui,Non,Oui,Non,5.9,Périphérie,3,3,4,Promoteur,2022,3,793,< 800€,16.800847457627118,109,3,3.3333333333333335,4.23728813559322,T3
LOC_000045,Montpellier,Sud,Commerce,69.3,4,3,1,3,Non,1941,Moyen,Collectif,Oui,Non,Non,Non,Non,Non,13.2,Banlieue,3,2,4,Promoteur,2024,5,1187,800-1200€,17.12842712842713,83,1,3.0,4.32900432900433,T4
LOC_000046,Lille,Sud,Commerce,27.5,2,1,1,10,Oui,2010,Très_bon,Gaz,Non,Oui,Non,Oui,Non,Non,10.5,Banlieue,1,2,2,Agence_nationale,2023,4,593,< 800€,21.563636363636363,14,2,1.6666666666666667,3.6363636363636362,T2
LOC_000047,Nice,Nord,Résidentiel,53.2,3,1,1,11,Non,1879,Moyen,Gaz,Non,Oui,Non,Non,Non,Non,14.3,Banlieue,3,3,2,Promoteur,2024,9,1328,1200-1800€,24.962406015037594,145,1,2.6666666666666665,1.8796992481203008,T3
LOC_000048,Bordeaux,Centre,Moderne,31.6,2,1,1,9,Oui,2013,Bon,Gaz,Non,Oui,Non,Non,Non,Oui,1.5,Centre,4,5,5,Agence_nationale,2022,5,711,< 800€,22.5,11,1,4.666666666666667,3.164556962025316,T2
LOC_000049,Lyon,Nord,Centre-ville,42.0,3,1,1,1,Oui,1987,Très_bon,Électrique,Non,Non,Non,Non,Non,Oui,6.7,Périphérie,2,4,2,Promoteur,2024,7,1163,800-1200€,27.69047619047619,37,0,2.6666666666666665,2.380952380952381,T3
LOC_000050,Nice,Centre,Industriel,40.2,3,2,1,5,Oui,1944,Moyen,Collectif,Non,Non,Oui,Non,Non,Non,0.9,Centre,4,4,3,Agence_nationale,2024,7,675,< 800€,16.791044776119403,80,1,3.6666666666666665,4.975124378109452,T3
LOC_000051,Lille,Nord,Gare,24.6,1,0,1,3,Non,1887,Moyen,Électrique,Non,Non,Non,Non,Non,Oui,9.7,Périphérie,1,2,2,Agence_nationale,2022,3,361,< 800€,14.674796747967479,137,0,1.6666666666666667,0.0,Studio
LOC_000052,Nantes,Centre,Université,54.0,3,1,1,8,Oui,1866,Moyen,Fuel,Non,Oui,Non,Non,Oui,Non,0.3,Centre,5,5,5,Particulier,2022,10,567,< 800€,10.5,158,2,5.0,1.8518518518518516,T3
LOC_000053,Strasbourg,Est,Gare,27.7,2,1,1,1,Non,1887,Très_bon,Gaz,Non,Oui,Oui,Non,Non,Non,13.9,Banlieue,3,3,2,Particulier,2022,8,441,< 800€,15.92057761732852,137,2,2.6666666666666665,3.6101083032490973,T2
LOC_000054,Bordeaux,Nord,Historique,33.7,2,1,1,7,Oui,1874,Bon,Électrique,Non,Non,Non,Non,Oui,Oui,5.7,Périphérie,2,2,4,Agence_nationale,2024,11,723,< 800€,21.4540059347181,150,1,2.6666666666666665,2.9673590504451037,T2
LOC_000055,Paris,19ème,Quartier_19ème,44.7,3,1,1,10,Oui,1940,À_rénover,Collectif,Non,Non,Oui,Non,Non,Oui,14.5,Banlieue,3,2,2,Promoteur,2022,9,1152,800-1200€,25.77181208053691,84,1,2.3333333333333335,2.2371364653243844,T3
LOC_000056,Nantes,Ouest,Industriel,34.2,2,1,1,12,Oui,1993,À_rénover,Fuel,Non,Non,Oui,Non,Non,Oui,6.3,Périphérie,1,3,4,Agence_nationale,2022,2,300,< 800€,8.771929824561402,31,1,2.6666666666666665,2.923976608187134,T2
LOC_000057,Paris,6ème,Quartier_6ème,45.4,3,1,1,1,Oui,2012,Moyen,Gaz,Non,Non,Non,Oui,Non,Oui,4.5,Proche_centre,5,3,3,Agence_locale,2023,6,2906,> 2500€,64.00881057268722,12,1,3.6666666666666665,2.2026431718061676,T3
LOC_000058,Paris,3ème,Quartier_3ème,74.5,4,2,1,7,Oui,1956,Bon,Fuel,Oui,Non,Oui,Non,Non,Non,0.5,Centre,4,4,4,Particulier,2022,10,2607,> 2500€,34.993288590604024,68,2,4.0,2.684563758389262,T4
LOC_000059,Nice,Nord,Université,45.2,3,2,1,0,Non,1960,Bon,Électrique,Non,Oui,Non,Non,Oui,Non,6.5,Périphérie,1,3,2,Promoteur,2022,4,961,800-1200€,21.261061946902654,64,2,2.0,4.424778761061947,T3
LOC_000060,Lille,Est,Périphérie,44.6,3,1,1,1,Non,1933,Bon,Collectif,Non,Non,Oui,Non,Oui,Non,10.7,Banlieue,2,4,2,Promoteur,2022,6,521,< 800€,11.681614349775785,91,2,2.6666666666666665,2.242152466367713,T3
LOC_000061,Nantes,Nord,Industriel,46.1,3,2,1,8,Oui,1939,Bon,Collectif,Non,Oui,Oui,Non,Oui,Oui,3.9,Proche_centre,5,3,3,Promoteur,2023,12,992,800-1200€,21.518438177874184,85,3,3.6666666666666665,4.3383947939262475,T3
LOC_000062,Lille,Est,Périphérie,43.5,3,1,1,10,Oui,1962,Très_bon,Électrique,Non,Oui,Oui,Non,Non,Non,14.8,Banlieue,1,3,3,Particulier,2023,10,575,< 800€,13.218390804597702,62,2,2.3333333333333335,2.2988505747126435,T3
LOC_000063,Lille,Ouest,Banlieue,23.3,1,0,1,7,Non,1996,Bon,Gaz,Non,Oui,Oui,Non,Non,Oui,10.0,Périphérie,3,2,4,Agence_locale,2024,2,417,< 800€,17.896995708154506,28,2,3.0,0.0,Studio
LOC_000064,Montpellier,Est,Banlieue,28.1,2,1,1,4,Oui,1936,Moyen,Gaz,Non,Non,Oui,Non,Non,Oui,4.9,Proche_centre,5,3,4,Particulier,2022,4,422,< 800€,15.017793594306049,88,1,4.0,3.558718861209964,T2
LOC_000065,Marseille,Sud,Résidentiel,63.7,4,2,1,2,Non,1871,Bon,Électrique,Non,Non,Non,Non,Non,Non,11.4,Banlieue,3,2,4,Promoteur,2024,11,1303,1200-1800€,20.455259026687596,153,0,3.0,3.139717425431711,T4
LOC_000066,Paris,12ème,Quartier_12ème,26.7,2,1,1,5,Non,1974,Bon,Collectif,Non,Oui,Non,Non,Non,Non,6.7,Périphérie,3,2,4,Agence_nationale,2024,6,1247,1200-1800€,46.70411985018727,50,1,3.0,3.7453183520599254,T2
LOC_000067,Lille,Est,Université,26.4,2,1,1,11,Oui,1955,Bon,Fuel,Non,Non,Non,Non,Oui,Oui,13.0,Banlieue,2,2,3,Promoteur,2024,3,345,< 800€,13.068181818181818,69,1,2.3333333333333335,3.787878787878788,T2
LOC_000068,Strasbourg,Ouest,Banlieue,61.2,4,3,1,12,Oui,1914,Très_bon,Électrique,Non,Non,Non,Non,Oui,Oui,4.9,Proche_centre,3,4,4,Agence_locale,2023,5,1015,800-1200€,16.584967320261438,110,1,3.6666666666666665,4.901960784313726,T4
LOC_000069,Toulouse,Est,Industriel,40.3,3,1,1,8,Oui,1948,À_rénover,Électrique,Oui,Non,Non,Non,Non,Oui,8.0,Périphérie,2,3,4,Agence_locale,2023,2,705,< 800€,17.49379652605459,76,1,3.0,2.481389578163772,T3
LOC_000070,Montpellier,Ouest,Centre-ville,21.5,1,0,1,2,Non,2005,Très_bon,Gaz,Oui,Non,Oui,Non,Non,Non,3.2,Proche_centre,3,4,3,Agence_locale,2024,8,527,< 800€,24.511627906976745,19,2,3.3333333333333335,0.0,Studio
LOC_000071,Nice,Est,Centre-ville,24.5,1,0,1,2,Non,1871,Moyen,Électrique,Non,Oui,Non,Non,Oui,Non,5.9,Périphérie,1,4,3,Agence_nationale,2024,3,601,< 800€,24.53061224489796,153,2,2.6666666666666665,0.0,Studio
LOC_000072,Paris,12ème,Quartier_12ème,37.7,2,1,1,3,Non,2010,Neuf,Électrique,Non,Oui,Oui,Non,Non,Non,12.5,Banlieue,3,3,4,Promoteur,2023,12,1836,1800-2500€,48.700265251989386,14,2,3.3333333333333335,2.652519893899204,T2
LOC_000073,Marseille,Centre,Moderne,26.9,2,1,1,0,Non,1929,Moyen,Collectif,Non,Oui,Non,Oui,Non,Non,0.4,Centre,5,5,3,Agence_nationale,2024,3,362,< 800€,13.45724907063197,95,2,4.333333333333333,3.717472118959108,T2
LOC_000074,Montpellier,Est,Industriel,26.0,2,1,1,5,Non,1982,Très_bon,Gaz,Non,Oui,Non,Non,Non,Oui,9.0,Périphérie,2,4,3,Agence_nationale,2023,7,720,< 800€,27.692307692307693,42,1,3.0,3.8461538461538463,T2
LOC_000075,Strasbourg,Nord,Moderne,43.5,3,1,1,9,Non,1920,Moyen,Fuel,Oui,Non,Non,Non,Non,Oui,3.5,Proche_centre,3,3,4,Particulier,2023,10,445,< 800€,10.229885057471265,104,1,3.3333333333333335,2.2988505747126435,T3
LOC_000076,Toulouse,Sud,Industriel,44.7,3,2,1,10,Oui,1944,Bon,Fuel,Non,Oui,Oui,Non,Oui,Oui,9.8,Périphérie,3,2,3,Promoteur,2022,2,721,< 800€,16.129753914988815,80,3,2.6666666666666665,4.474272930648769,T3
LOC_000077,Nice,Sud,Moderne,41.1,3,1,1,3,Oui,1868,Moyen,Fuel,Non,Oui,Non,Non,Non,Oui,10.3,Banlieue,1,4,4,Agence_nationale,2024,2,709,< 800€,17.25060827250608,156,1,3.0,2.4330900243309,T3
LOC_000078,Marseille,Sud,Banlieue,61.0,4,3,1,3,Non,1856,Bon,Électrique,Non,Non,Oui,Non,Oui,Non,14.8,Banlieue,3,4,3,Promoteur,2023,3,916,800-1200€,15.01639344262295,168,2,3.3333333333333335,4.918032786885246,T4
LOC_000079,Lyon,Nord,Industriel,21.7,1,0,1,2,Non,1991,Bon,Gaz,Non,Oui,Non,Oui,Oui,Oui,8.4,Périphérie,1,2,3,Agence_locale,2023,10,616,< 800€,28.387096774193548,33,3,2.0,0.0,Studio
LOC_000080,Nice,Centre,Résidentiel,46.4,3,1,1,2,Non,2007,Très_bon,Électrique,Oui,Non,Oui,Non,Non,Non,1.9,Centre,4,4,3,Particulier,2023,9,876,800-1200€,18.879310344827587,17,2,3.6666666666666665,2.1551724137931036,T3
LOC_000081,Nice,Nord,Périphérie,51.4,3,1,1,10,Oui,2014,Moyen,Électrique,Non,Non,Oui,Oui,Oui,Non,10.7,Banlieue,2,3,2,Agence_nationale,2024,10,1321,1200-1800€,25.700389105058367,10,3,2.3333333333333335,1.9455252918287937,T3
LOC_000082,Nantes,Sud,Industriel,75.6,4,2,1,8,Oui,1931,Bon,Gaz,Non,Oui,Oui,Non,Non,Non,4.6,Proche_centre,3,4,4,Agence_locale,2024,3,1815,1800-2500€,24.00793650793651,93,2,3.6666666666666665,2.6455026455026456,T4
LOC_000083,Bordeaux,Est,Moderne,34.4,2,1,1,6,Oui,1911,Bon,Électrique,Oui,Oui,Non,Non,Non,Non,9.0,Périphérie,1,3,2,Agence_nationale,2022,8,735,< 800€,21.366279069767444,113,2,2.0,2.9069767441860463,T2
LOC_000084,Strasbourg,Sud,Centre-ville,43.3,3,2,1,5,Oui,1868,Bon,Électrique,Non,Non,Non,Non,Oui,Oui,9.8,Périphérie,2,3,4,Agence_nationale,2024,6,664,< 800€,15.334872979214781,156,1,3.0,4.618937644341801,T3
LOC_000085,Lille,Ouest,Historique,116.9,6,4,2,8,Oui,2005,Bon,Gaz,Non,Non,Oui,Non,Non,Non,3.5,Proche_centre,5,4,4,Promoteur,2022,4,1136,800-1200€,9.71770744225834,19,1,4.333333333333333,3.4217279726261762,T5+
LOC_000086,Nantes,Centre,Historique,32.8,2,1,1,9,Oui,2017,Très_bon,Collectif,Non,Non,Non,Oui,Non,Non,1.6,Centre,5,4,5,Agence_locale,2022,6,580,< 800€,17.682926829268293,7,1,4.666666666666667,3.0487804878048785,T2
LOC_000087,Lyon,Nord,Centre-ville,31.9,2,1,1,11,Oui,1978,Moyen,Collectif,Non,Non,Oui,Oui,Oui,Oui,8.0,Périphérie,3,3,4,Promoteur,2022,10,685,< 800€,21.473354231974923,46,3,3.3333333333333335,3.1347962382445145,T2
LOC_000088,Montpellier,Ouest,Industriel,84.0,5,3,1,3,Oui,1926,Bon,Collectif,Oui,Oui,Oui,Non,Non,Oui,11.1,Banlieue,3,3,3,Particulier,2023,3,1593,1200-1800€,18.964285714285715,98,3,3.0,3.571428571428571,T5+
LOC_000089,Bordeaux,Est,Historique,28.4,2,1,1,4,Oui,1870,Bon,Électrique,Non,Oui,Oui,Non,Non,Non,14.5,Banlieue,1,2,4,Agence_locale,2024,11,721,< 800€,25.387323943661972,154,2,2.3333333333333335,3.5211267605633805,T2
LOC_000090,Bordeaux,Nord,Commerce,120.7,8,7,2,0,Non,1890,Moyen,Collectif,Non,Oui,Oui,Non,Non,Non,8.0,Périphérie,1,4,4,Agence_locale,2022,1,1319,1200-1800€,10.927920463960232,134,2,3.0,5.79950289975145,T5+
LOC_000091,Paris,6ème,Quartier_6ème,17.7,1,0,1,0,Non,1951,Moyen,Gaz,Non,Non,Oui,Oui,Non,Non,2.7,Proche_centre,4,4,4,Promoteur,2024,12,1109,800-1200€,62.65536723163842,73,2,4.0,0.0,Studio
LOC_000092,Montpellier,Sud,Commerce,32.3,2,1,1,10,Oui,1897,Très_bon,Électrique,Oui,Non,Oui,Non,Non,Non,7.0,Périphérie,2,4,3,Particulier,2022,9,476,< 800€,14.73684210526316,127,2,3.0,3.0959752321981426,T2
LOC_000093,Lyon,Nord,Université,51.1,3,2,1,4,Oui,1964,Moyen,Collectif,Non,Non,Oui,Non,Non,Oui,14.2,Banlieue,1,3,3,Agence_locale,2023,11,1016,800-1200€,19.882583170254403,60,1,2.3333333333333335,3.9138943248532287,T3
LOC_000094,Bordeaux,Sud,Gare,34.1,2,1,1,9,Oui,1884,Moyen,Électrique,Non,Oui,Non,Non,Non,Non,14.3,Banlieue,1,2,4,Particulier,2023,11,485,< 800€,14.222873900293255,140,1,2.3333333333333335,2.9325513196480935,T2
LOC_000095,Bordeaux,Sud,Gare,92.1,4,3,1,5,Non,1963,Bon,Gaz,Non,Oui,Non,Non,Non,Non,4.3,Proche_centre,4,3,4,Agence_nationale,2024,8,2228,1800-2500€,24.191096634093377,61,1,3.6666666666666665,3.257328990228013,T4
LOC_000096,Strasbourg,Sud,Centre-ville,48.0,3,2,1,6,Oui,1866,Moyen,Gaz,Non,Non,Non,Non,Oui,Oui,9.9,Périphérie,3,4,4,Promoteur,2024,1,939,800-1200€,19.5625,158,1,3.6666666666666665,4.166666666666666,T3
LOC_000097,Montpellier,Est,Historique,20.6,1,0,1,10,Non,1880,Bon,Électrique,Non,Non,Oui,Oui,Oui,Oui,14.6,Banlieue,3,4,4,Promoteur,2023,7,300,< 800€,14.563106796116504,144,3,3.6666666666666665,0.0,Studio
LOC_000098,Toulouse,Nord,Moderne,35.7,2,1,1,0,Non,1957,Moyen,Collectif,Non,Oui,Oui,Non,Non,Non,6.3,Périphérie,1,2,4,Particulier,2024,7,507,< 800€,14.201680672268907,67,2,2.3333333333333335,2.8011204481792715,T2
LOC_000099,Toulouse,Ouest,Commerce,24.9,1,0,1,8,Non,1909,À_rénover,Fuel,Non,Oui,Non,Non,Non,Oui,12.3,Banlieue,3,4,2,Promoteur,2023,8,403,< 800€,16.184738955823295,115,1,3.0,0.0,Studio
